Wall time,Step,Value
1502742118.2783792,42,6.104657173156738
1502742118.288873,45,5.632704257965088
1502742118.3797235,71,4.226596832275391
1502742118.4603906,94,3.517838478088379
1502742118.715111,167,2.627469062805176
1502742118.930489,229,2.463703155517578
1502742118.9477065,234,3.0800976753234863
1502742119.0200977,255,2.737410545349121
1502742119.0822952,273,2.525852918624878
1502742119.2051184,308,2.8461363315582275
1502742119.2120836,310,2.3509364128112793
1502742119.2395768,318,2.1486222743988037
1502742119.779107,474,1.4833769798278809
1502742119.994478,536,1.066602110862732
1502742120.14528,579,1.1245919466018677
1502742120.1704137,586,1.5867743492126465
1502742120.3402996,634,1.0695667266845703
1502742120.3866343,647,1.535848617553711
1502742120.4720185,671,2.422217607498169
1502742120.6242073,714,1.1834690570831299
1502742120.6528168,722,1.2324583530426025
1502742120.8736794,785,0.8244811296463013
1502742120.9333017,802,0.6824203133583069
1502742120.9541547,808,0.9550790786743164
1502742121.0520432,836,0.9689342379570007
1502742121.5275788,971,0.6483330130577087
1502742121.6798258,1014,0.7797098159790039
1502742121.863241,1066,0.7814445495605469
1502742121.9966357,1104,0.7475993037223816
1502742122.26382,1180,1.1314263343811035
1502742122.550502,1261,0.5617239475250244
1502742122.743544,1316,0.750665545463562
1502742122.7539155,1319,0.653399646282196
1502742122.8029828,1333,1.202449917793274
1502742122.817012,1337,0.8510620594024658
1502742122.9848402,1385,0.5572913885116577
1502742123.0088565,1392,0.7585744261741638
1502742123.1632545,1436,0.9590789675712585
1502742123.2682092,1466,0.5062018036842346
1502742123.469366,1523,0.7379518747329712
1502742123.5700796,1552,0.8516457676887512
1502742123.6258745,1568,1.1076356172561646
1502742123.682201,1584,0.7728850841522217
1502742124.0562148,1691,0.8623213768005371
1502742124.206538,1734,0.9627558588981628
1502742124.216867,1737,0.5790344476699829
1502742124.591781,1844,0.5584301948547363
1502742124.6685894,1866,0.7175690531730652
1502742124.7074683,1877,0.6463784575462341
1502742124.8477516,1917,0.5836734771728516
1502742124.9073405,1934,0.5376600623130798
1502742124.9529893,1947,0.3581649959087372
1502742125.2661781,2036,0.6877658367156982
1502742125.4760334,2096,0.36922064423561096
1502742125.7967544,2187,0.5927777886390686
1502742125.8385324,2199,0.40155839920043945
1502742125.9502294,2231,0.32078373432159424
1502742125.9715219,2237,0.5394044518470764
1502742126.058269,2262,0.4622805416584015
1502742126.215208,2307,0.8426355123519897
1502742126.501388,2389,0.3668450713157654
1502742126.6676297,2436,0.2987145483493805
1502742126.7264044,2453,0.2334357053041458
1502742126.7340074,2455,0.21928741037845612
1502742126.7521567,2460,0.23854219913482666
1502742126.8398032,2485,0.4604857265949249
1502742126.8432655,2486,0.4076225161552429
1502742126.8848107,2498,0.3278500437736511
1502742126.9034178,2503,0.3863930404186249
1502742127.004312,2532,0.2896520793437958
1502742127.057055,2547,0.21326255798339844
1502742127.5387757,2685,0.2682456374168396
1502742127.7320256,2740,0.2872179448604584
1502742128.5289478,2967,0.3624715805053711
1502742128.7778678,3038,0.16985777020454407
1502742128.7886035,3041,0.14141356945037842
1502742128.9919057,3099,0.19630195200443268
1502742129.2087376,3161,0.2555285096168518
1502742129.450615,3230,0.20491977035999298
1502742129.4994342,3244,0.1812646985054016
1502742129.5062494,3246,0.12406346201896667
1502742129.5097651,3247,0.30778539180755615
1502742129.7123802,3305,0.16599200665950775
1502742130.3239958,3480,0.1401246339082718
1502742130.80716,3618,0.16987811028957367
1502742130.81434,3620,0.20202520489692688
1502742130.9902549,3670,0.18155676126480103
1502742131.237591,3741,0.17016854882240295
1502742131.41944,3793,0.18749874830245972
1502742131.492315,3814,0.3245408833026886
1502742131.5166707,3821,0.2569948434829712
