Wall time,Step,Value
1502742403.96417,42,117.34782409667969
1502742403.976277,45,115.08025360107422
1502742404.0691488,71,96.87483978271484
1502742404.1517043,94,83.71288299560547
1502742404.4116526,167,38.089637756347656
1502742404.633849,229,25.91324234008789
1502742404.651803,234,25.904582977294922
1502742404.7262418,255,19.097305297851562
1502742404.7899544,273,17.16451644897461
1502742404.914577,308,18.29491424560547
1502742404.921743,310,15.73178768157959
1502742404.9504082,318,19.26767349243164
1502742405.5099146,474,10.422347068786621
1502742405.7352405,536,11.211610794067383
1502742405.8910544,579,8.71164608001709
1502742405.9159296,586,8.574533462524414
1502742406.0908113,634,9.891133308410645
1502742406.137655,647,6.911184310913086
1502742406.226727,671,6.23938512802124
1502742406.3835902,714,7.4090142250061035
1502742406.413023,722,8.08244800567627
1502742406.6423652,785,7.512861251831055
1502742406.7048,802,7.300205230712891
1502742406.7265267,808,9.056368827819824
1502742406.827153,836,6.27938175201416
1502742407.3167498,971,6.412397384643555
1502742407.4723172,1014,4.800974369049072
1502742407.6608052,1066,5.5310187339782715
1502742407.7993686,1104,4.874391078948975
1502742408.0746193,1180,4.40570592880249
1502742408.367962,1261,8.091703414916992
1502742408.564432,1316,3.5859034061431885
1502742408.5753748,1319,3.5997838973999023
1502742408.6256635,1333,2.822666645050049
1502742408.64023,1337,3.2643203735351562
1502742408.8138106,1385,4.601779460906982
1502742408.8384738,1392,7.3708038330078125
1502742408.9986632,1436,6.650061130523682
1502742409.1066327,1466,4.467737197875977
1502742409.3132992,1523,8.392780303955078
1502742409.417287,1552,19.16928482055664
1502742409.475035,1568,6.683855056762695
1502742409.5319562,1584,5.512107849121094
1502742409.9184797,1691,3.242177963256836
1502742410.074797,1734,2.2960126399993896
1502742410.08562,1737,2.7654685974121094
1502742410.471184,1844,4.868259429931641
1502742410.5503128,1866,5.269059181213379
1502742410.5898066,1877,4.185761451721191
1502742410.734169,1917,3.4212429523468018
1502742410.795343,1934,3.1582248210906982
1502742410.8424878,1947,2.7536065578460693
1502742411.1629698,2036,4.175558567047119
1502742411.3784862,2096,3.0026869773864746
1502742411.7057652,2187,8.177536964416504
1502742411.7497153,2199,7.884329795837402
1502742411.8667295,2231,5.612951755523682
1502742411.8880477,2237,5.703714370727539
1502742411.9764502,2262,2.7632033824920654
1502742412.137533,2307,2.2292447090148926
1502742412.4314528,2389,5.464117527008057
1502742412.5988858,2436,2.1136653423309326
1502742412.6594193,2453,2.57802414894104
1502742412.6665213,2455,1.8309812545776367
1502742412.684175,2460,2.361168622970581
1502742412.7725914,2485,2.601912021636963
1502742412.7761855,2486,2.3176662921905518
1502742412.8185363,2498,1.9980318546295166
1502742412.836753,2503,2.8896660804748535
1502742412.9399955,2532,3.7577619552612305
1502742412.993741,2547,4.0241546630859375
